AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202502,2105427,ITINGA DO MARANHÃO,21,MARANHÃO,NE,NORDESTE,88436099.23,602368,28039981.45,23371,86183058.93,380981,32989824.28,106853,14814,517,14536,478
202511,3203700,MUNIZ FREIRE,32,ESPÍRITO SANTO,SE,SUDESTE,55133214.48,293683,22882154.98,18653,51458457.47,145495,22198922.49,76217,9594,656,9290,624
202508,4115739,MATO RICO,41,PARANÁ,SU,SUL,10630928.21,47501,2020137.25,2142,10585110.72,22746,1464397.78,4982,1784,83,1723,80
202603,2203859,FLORESTA DO PIAUÍ,22,PIAUÍ,NE,NORDESTE,3937250.18,22736,509069.29,549,3943798.68,12987,259430.54,1677,1078,29,1056,24
202506,3514205,DOLCINÓPOLIS,35,SÃO PAULO,SE,SUDESTE,18084177.73,41584,5604706.65,2312,15782871.44,25314,1877501.51,7068,1336,77,1287,75
202507,3203502,MONTANHA,32,ESPÍRITO SANTO,SE,SUDESTE,122836084.89,504223,99474371.74,30756,124309420.02,285584,88151270.1,104472,11931,789,11980,761
202508,4118204,PARANAGUÁ,41,PARANÁ,SU,SUL,690547411.48,4858630,806250562.53,400586,685194117.89,2605849,816143391.1,990832,107734,7808,106371,7481
202601,1702109,ARAGUAÍNA,17,TOCANTINS,NO,NORTE,1239575944.27,6334739,1019589091.75,573678,1224364524.68,3555823,974786352.26,1726381,134615,11657,133484,11103
202510,2106508,MATINHA,21,MARANHÃO,NE,NORDESTE,62292180.76,482888,9687702.86,13492,56991095.78,309869,9082319.5,52971,12496,227,12134,196
202602,1100940,CUJUBIM,11,RONDÔNIA,NO,NORTE,69472511.73,349181,17642826.23,20563,72850033.91,171351,20015798.59,71225,10163,593,10025,571
202507,4116406,NOSSA SENHORA DAS GRAÇAS,41,PARANÁ,SU,SUL,13573336.63,69025,27771865.04,10972,12197641.57,36222,37525509.84,23842,2303,192,2252,186
202506,4300455,ALEGRIA,43,RIO GRANDE DO SUL,SU,SUL,6954356.65,34369,4620275.92,2076,7478307.81,15359,5308890.45,5254,1612,133,1441,133
202512,2406809,LAJES PINTADAS,24,RIO GRANDE DO NORTE,NE,NORDESTE,14266674.79,126746,33196432.8,250623,13713204.12,74878,25255844.03,637022,3141,94,3071,86
202502,4305603,COLORADO,43,RIO GRANDE DO SUL,SU,SUL,8291683.85,30533,1945795.83,1714,7213159.83,13714,1754814.94,2938,1659,128,1390,110
202602,5007901,SIDROLÂNDIA,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,205935118.5,1092037,155316692.64,108290,204779002.05,556335,169267881.73,279168,29980,2377,29296,2278
202503,3200359,ALTO RIO NOVO,32,ESPÍRITO SANTO,SE,SUDESTE,27741287.0,133087,4427295.41,6072,26563365.36,83759,4738449.08,21291,4299,220,4250,211
202504,2926202,RIACHÃO DAS NEVES,29,BAHIA,NE,NORDESTE,51373427.3,404249,12705452.55,10863,49549888.87,240389,15248219.78,39429,10935,278,10965,274
202505,3520400,ILHABELA,35,SÃO PAULO,SE,SUDESTE,202784138.68,948510,106764077.37,107096,212065220.5,525366,89593324.09,273755,27895,3139,27747,2970
202503,5212709,MAMBAÍ,52,GOIÁS,CO,CENTRO-OESTE,33017204.82,184449,20869410.43,15563,31418286.58,98465,17537732.48,54751,5056,392,4856,365
202506,3519709,IBIÚNA,35,SÃO PAULO,SE,SUDESTE,310901897.31,1675230,196747406.17,137867,344974898.81,989855,175699859.48,337365,51328,3703,51184,3477
202601,2930204,SENTO SÉ,29,BAHIA,NE,NORDESTE,98586201.16,878006,15355761.15,15215,90769435.97,531791,15655237.76,94600,21426,422,20584,393
202511,5107958,TANGARÁ DA SERRA,51,MATO GROSSO,CO,CENTRO-OESTE,822173709.99,2426926,643670686.16,275757,885210983.07,1340196,606056258.43,678925,68963,7441,68256,7127
202504,4210100,MAFRA,42,SANTA CATARINA,SU,SUL,186847793.15,906861,289152516.39,78518,194781634.97,458571,193060550.51,215866,33363,3266,32268,3160
202511,2920908,MASCOTE,29,BAHIA,NE,NORDESTE,37597163.62,279684,11532955.81,6450,35457837.88,167275,9668088.95,33887,6780,193,6685,184
202506,1300086,ANAMÃ,13,AMAZONAS,NO,NORTE,25102465.76,234176,2264088.34,3507,21035958.96,139653,3054552.39,13545,6194,90,5832,86
202512,3203056,JAGUARÉ,32,ESPÍRITO SANTO,SE,SUDESTE,212695252.02,959106,130181564.96,45191,200997940.69,496570,126580374.87,201329,19352,1187,19108,1107
202509,2409902,PENDÊNCIAS,24,RIO GRANDE DO NORTE,NE,NORDESTE,44708508.72,363140,9478125.99,8747,39761330.02,230314,8320367.18,36232,8582,252,8222,240
202504,2903201,BARREIRAS,29,BAHIA,NE,NORDESTE,890499907.92,4292799,614973104.79,335687,890771146.04,2690131,574514145.36,972235,111083,8544,110506,8174
202511,4109005,GUAPIRAMA,41,PARANÁ,SU,SUL,16869486.32,84216,17541582.53,7843,16147288.22,43691,12905979.8,20009,2807,237,2700,223
202504,3106705,BETIM,31,MINAS GERAIS,SE,SUDESTE,1823336464.98,10866088,3749181046.32,815375,1835715068.72,6516527,2267482121.95,2037586,297475,24637,295820,22835
202601,2601052,ARAÇOIABA,26,PERNAMBUCO,NE,NORDESTE,60381441.48,528664,9241896.82,11754,55014324.93,329697,9210370.24,51484,11855,273,11648,253
202505,3205176,VILA VALÉRIO,32,ESPÍRITO SANTO,SE,SUDESTE,116051451.67,335265,104494224.08,19918,106715085.3,175892,89738042.08,71875,8349,579,8043,556
202509,2304806,GRANJEIRO,23,CEARÁ,NE,NORDESTE,14007068.8,109612,1845758.4,1655,13204000.11,66545,1223756.67,9688,2933,63,2867,54
202506,2313401,TIANGUÁ,23,CEARÁ,NE,NORDESTE,251892752.95,1511698,143331578.81,110937,249050705.93,1045155,150831418.72,369781,43259,2794,41772,2558
202507,5215231,NOVO GAMA,52,GOIÁS,CO,CENTRO-OESTE,369149348.3,3097730,120815217.06,139754,374663046.21,1914011,99408681.7,428194,63483,2870,64556,2736
202508,4126272,SAUDADE DO IGUAÇU,41,PARANÁ,SU,SUL,19515383.01,107395,9221920.75,8430,17513601.25,54191,9456545.1,21169,3272,287,3188,286
202508,2206308,MIGUEL LEÃO,22,PIAUÍ,NE,NORDESTE,3231079.96,39737,2905347.91,1279,2896769.34,21572,1584182.6,6671,842,33,819,29
202503,4215802,SÃO BENTO DO SUL,42,SANTA CATARINA,SU,SUL,296959670.39,1453110,416376414.22,150728,312305705.1,764506,397743586.3,311391,54388,6008,52880,5850
202508,1508209,VIGIA,15,PARÁ,NO,NORTE,144924213.52,1316846,33317064.82,39899,138923687.78,880740,35746761.46,161442,29684,760,28770,725
