AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202509,2311009.0,PORANGA,23.0,CEARÁ,NE,NORDESTE,28306919.18,204455,4680582.19,5439,26091255.01,126762,5226919.18,31070,6273,153,5945,136
202512,4110508.0,IPIRANGA,41.0,PARANÁ,SU,SUL,51513144.61,248673,21619862.37,14379,50382810.2,116699,18529486.9,43253,8191,511,7586,482
202501,3102902.0,ANTÔNIO CARLOS,31.0,MINAS GERAIS,SE,SUDESTE,22106120.84,127125,8061156.76,6805,22209957.88,73066,9262874.17,18382,5772,295,5622,277
202504,2928307.0,SANTANÓPOLIS,29.0,BAHIA,NE,NORDESTE,21534609.54,190124,6865403.54,5965,20718142.61,123343,5178643.75,20932,5166,115,5161,117
202501,4122008.0,RIO AZUL,41.0,PARANÁ,SU,SUL,28594673.37,153237,33575892.17,13555,28649859.9,69322,27007108.39,31124,6291,523,5743,528
202511,1504307.0,MARACANÃ,15.0,PARÁ,NO,NORTE,65255598.51,774638,8644272.38,13412,60291394.98,518821,6790794.96,59194,16894,219,16181,213
202505,3119708.0,CORONEL XAVIER CHAVES,31.0,MINAS GERAIS,SE,SUDESTE,8585098.44,42686,25705095.36,3230,9465010.77,23132,3988541.52,6955,1813,124,1754,117
202510,4302154.0,BOA VISTA DAS MISSÕES,43.0,RIO GRANDE DO SUL,SU,SUL,8952641.03,32926,6934159.5,2935,8558347.39,15666,8535845.15,8706,1276,128,1172,121
202511,2701902.0,CHÃ PRETA,27.0,ALAGOAS,NE,NORDESTE,16969724.26,122779,4317554.79,2304,15564075.29,80665,3584153.5,7592,3749,75,3689,64
202506,4210555.0,MAREMA,42.0,SANTA CATARINA,SU,SUL,7505728.43,19441,2212893.59,1712,7465241.47,9013,2584717.87,3057,975,84,906,82
202505,2515708.0,SERRA GRANDE,25.0,PARAÍBA,NE,NORDESTE,7238667.66,54076,606766.26,702,6785468.14,34054,528661.83,3275,1730,44,1689,39
202510,4101655.0,ARAPUÃ,41.0,PARANÁ,SU,SUL,14377362.58,53978,3435613.96,2544,12581394.9,27185,4746889.42,6998,2027,78,1959,80
202501,2303808.0,CEDRO,23.0,CEARÁ,NE,NORDESTE,48747859.16,371284,5672556.82,8381,46143784.84,244866,7060315.57,43751,12271,312,12085,288
202506,1507151.0,SÃO DOMINGOS DO ARAGUAIA,15.0,PARÁ,NO,NORTE,106506334.88,620622,36904172.76,22892,98660738.75,365578,50607138.79,99556,14104,467,13792,427
202501,2312205.0,SANTA QUITÉRIA,23.0,CEARÁ,NE,NORDESTE,91910028.67,705926,36764371.71,29584,85344075.0,476808,35860654.15,123418,21933,866,21410,824
202512,4321626.0,TRAVESSEIRO,43.0,RIO GRANDE DO SUL,SU,SUL,4099794.53,15139,2482824.32,912,3902502.9,6440,1796376.0,2007,888,89,748,87
202503,4111704.0,JABOTI,41.0,PARANÁ,SU,SUL,12234604.47,61037,11481588.73,5614,12064386.72,34332,10833285.62,13508,2628,216,2496,194
202602,2504009.0,CAMPINA GRANDE,25.0,PARAÍBA,NE,NORDESTE,1875840851.45,11988674,1786513235.67,2658140,1783171878.65,7343080,1810337214.1,10615714,294242,21379,287579,19794
202505,2920601.0,MARAGOGIPE,29.0,BAHIA,NE,NORDESTE,113588800.91,934331,17605683.32,14878,108612674.17,629448,15473768.41,50815,22113,472,21966,430
202506,3146701.0,PALMA,31.0,MINAS GERAIS,SE,SUDESTE,13998616.56,94056,3850034.26,4320,12799456.38,50843,3303608.61,13295,2866,194,2814,204
202508,4116604.0,NOVA AMÉRICA DA COLINA,41.0,PARANÁ,SU,SUL,10851322.07,60553,2792538.44,3388,11231873.84,31114,3401140.96,8135,1979,124,1908,112
202506,3531100.0,MONGAGUÁ,35.0,SÃO PAULO,SE,SUDESTE,225508471.44,1468184,94649628.35,105784,230159877.65,892341,79518094.99,275030,39105,3206,39045,2937
202503,5208905.0,GOIÁS,52.0,GOIÁS,CO,CENTRO-OESTE,105105699.71,486284,29466802.58,25617,102305901.42,290217,28233192.01,105103,14569,855,14739,817
202512,2305506.0,IGUATU,23.0,CEARÁ,NE,NORDESTE,494076456.02,2739388,189675693.79,128123,472109173.66,1882290,184300657.73,551853,59764,2821,58714,2685
202603,2900306.0,ACAJUTIBA,29.0,BAHIA,NE,NORDESTE,27449311.56,197647,6006973.94,9096,26611976.51,116110,5502053.85,22409,8664,290,8472,265
202502,3171204.0,VESPASIANO,31.0,MINAS GERAIS,SE,SUDESTE,459755992.67,2922262,213173867.58,182743,464215515.18,1838931,190042376.91,482499,81262,5633,81390,5207
202506,5219753.0,SANTO ANTÔNIO DO DESCOBERTO,52.0,GOIÁS,CO,CENTRO-OESTE,238110933.47,2003995,57415255.81,69768,240849486.61,1236131,60364815.89,253615,43420,1746,44037,1656
202602,2610202.0,PANELAS,26.0,PERNAMBUCO,NE,NORDESTE,51371335.22,374153,9686644.53,11451,47087836.62,268267,9748561.72,42389,12207,315,11866,301
202508,5103106.0,COCALINHO,51.0,MATO GROSSO,CO,CENTRO-OESTE,27909708.28,140080,29669987.37,12740,27660645.58,79161,36963633.53,49571,3525,356,3493,326
202603,3161007.0,SÃO DOMINGOS DO PRATA,31.0,MINAS GERAIS,SE,SUDESTE,28311070.78,149210,11877277.47,9544,26307307.05,78980,9443567.58,28020,8495,623,8016,596
202503,2109908.0,SANTA INÊS,21.0,MARANHÃO,NE,NORDESTE,386210862.11,2637606,135111235.7,121938,382914840.7,1878067,158604433.31,443524,60429,2188,59521,2141
202602,2916856.0,ITATIM,29.0,BAHIA,NE,NORDESTE,53419364.63,350798,41325483.13,22631,51867565.91,257191,44896746.48,83698,9214,583,9076,540
202502,4123857.0,SANTA MARIA DO OESTE,41.0,PARANÁ,SU,SUL,24494320.51,132474,13280301.4,6266,25365638.15,64940,11438346.39,14859,5205,238,5046,224
202507,2303600.0,CATARINA,23.0,CEARÁ,NE,NORDESTE,33372455.47,204437,4159881.17,6280,30008166.62,150873,5744352.84,22176,5608,144,5395,144
202507,2915353.0,ITAGUAÇU DA BAHIA,29.0,BAHIA,NE,NORDESTE,22245824.51,184974,6331982.06,5423,20560227.29,104630,12745287.45,18506,5236,288,5143,463
202510,2200608.0,ANGICAL DO PIAUÍ,22.0,PIAUÍ,NE,NORDESTE,18801316.88,191835,5138080.97,5991,17001235.96,121163,5809162.5,36756,4207,167,4086,151
202509,3147808.0,PASSA VINTE,31.0,MINAS GERAIS,SE,SUDESTE,4910147.09,29683,2646490.85,3288,4727451.87,15307,2289825.54,7982,1073,77,1023,72
202509,1504901.0,MUANÁ,15.0,PARÁ,NO,NORTE,106732766.7,787627,12790606.81,8175,102935189.41,553413,14746030.44,26386,19507,226,18525,213
202510,2802908.0,ITABAIANA,28.0,SERGIPE,NE,NORDESTE,528675041.82,2164373,254293736.1,147157,520044752.81,1799880,290680029.34,614957,54621,3628,54477,3472
202506,4106506.0,CORONEL VIVIDA,41.0,PARANÁ,SU,SUL,83899460.34,392326,83361597.76,32537,80849408.97,201018,78374502.6,88870,13497,1255,13133,1199
202502,2600054.0,ABREU E LIMA,26.0,PERNAMBUCO,NE,NORDESTE,292548916.88,2474372,103053357.35,91696,286861828.56,1760745,86942794.33,304401,63079,2170,62809,2056
202508,2703304.0,INHAPI,27.0,ALAGOAS,NE,NORDESTE,48464996.82,324195,2995785.44,4431,49080834.33,278122,3310882.24,25572,8842,123,8594,116
202512,4317707.0,SANTO ANTÔNIO DAS MISSÕES,43.0,RIO GRANDE DO SUL,SU,SUL,35859905.59,192916,9977410.34,11103,33944251.74,90918,12728939.33,42982,6081,416,5754,412
202512,2403103.0,CURRAIS NOVOS,24.0,RIO GRANDE DO NORTE,NE,NORDESTE,179355542.67,1262162,86035512.1,64115,171301344.8,803460,85232066.85,235025,29087,1710,28663,1565
202506,5205703.0,CÓRREGO DO OURO,52.0,GOIÁS,CO,CENTRO-OESTE,11927100.98,42237,2689972.45,2278,11702539.52,27398,3385917.57,5232,1398,74,1404,74
202509,1703800.0,BURITI DO TOCANTINS,17.0,TOCANTINS,NO,NORTE,34745827.81,194926,9612562.85,9981,33930351.87,119782,11703029.67,34030,5052,198,4998,189
